City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
vao,5,GL,1567633136,71,60.91,-46.05,50.0,13.87
mato verde,75,US,1567633136,42,41.0,-76.45,87.01,6.93
twentynine palms,75,MU,1567633136,88,-20.01,57.66,72.0,5.82
mar del plata,40,CA,1567633136,41,51.26,-80.61,60.8,10.29
melnikovo,75,JP,1567633137,94,35.73,140.83,73.4,5.82
tadine,40,GT,1567633137,44,14.48,-90.53,91.4,9.17
butaritari,0,SE,1567633137,82,59.76,18.7,61.0,8.05
nelson bay,84,RU,1567633137,85,58.97,126.27,46.85,5.37
lompoc,73,NE,1567633137,52,13.34,7.75,86.45,10.31
camacha,100,ZA,1567633138,94,-33.59,26.89,57.0,3.06
bridgetown,41,ZA,1567633138,93,-34.53,20.04,51.01,2.24
dubbo,75,CA,1567633138,47,49.72,-86.95,59.0,11.41
rameswaram,20,KY,1567633138,75,19.28,-81.25,89.6,8.05
herat,75,MX,1567633138,47,21.05,-89.07,97.0,8.05
newport,1,FO,1567633139,75,62.23,-6.59,44.6,8.05
skjervoy,0,CA,1567632961,51,53.22,-114.98,72.05,9.37
biltine,88,LK,1567633139,81,5.97,80.42,81.59,15.23
sao joao do piaui,75,BR,1567633139,83,-9.67,-35.74,75.2,6.93
vila velha,40,US,1567633107,62,22.08,-159.32,87.8,16.11
saskylakh,90,US,1567632964,78,19.71,-155.08,82.99,11.41
omboue,75,NO,1567633140,100,61.99,5.14,50.0,5.82
port alfred,34,NA,1567633140,42,-26.65,15.16,68.0,21.92
barrow,82,ID,1567633140,92,-2.42,115.25,70.25,1.61
egvekinot,95,RU,1567633140,90,56.55,84.09,46.0,1.95
inhambane,0,EG,1567632914,22,24.09,32.9,89.6,5.82
coronel vivida,40,US,1567633091,14,45.79,-108.5,100.4,13.87
new norfolk,77,PG,1567633141,82,-6.22,155.63,79.07,5.66
tecoanapa,90,CA,1567633142,81,69.44,-133.03,50.0,10.29
maceio,78,NE,1567633142,15,18.69,12.92,98.51,6.96
buraydah,17,BR,1567633142,65,-2.9,-40.84,81.41,12.33
jaru,56,ER,1567633143,53,13.93,41.69,89.15,7.18
bluff,100,RU,1567633143,63,71.98,102.47,34.79,5.73
georgetown,75,CA,1567633143,48,62.45,-114.38,60.8,14.99
parnamirim,90,BR,1567633144,88,-22.97,-42.02,71.6,9.17
qaanaaq,92,PY,1567633144,24,-19.93,-60.77,86.09,9.19
aksarka,42,RU,1567633144,94,50.68,156.12,49.91,18.68
biak,75,BR,1567633144,78,-21.64,-41.05,77.0,17.22
saint-augustin,0,NO,1567633144,93,71.03,27.85,53.6,6.93
mayumba,0,AU,1567633145,25,-25.24,130.99,51.8,9.17
luangwa,87,PG,1567633145,87,-3.66,152.44,76.73,12.84
saquarema,1,US,1567633145,94,41.28,-70.1,75.99,13.87
vila franca do campo,20,GB,1567633145,72,52.47,1.45,60.01,16.11
chandur,100,IN,1567633146,92,15.34,74.49,75.29,5.99
tautira,49,RU,1567633146,88,64.27,100.22,41.63,4.27
vaitape,2,CN,1567633146,95,47.24,132.03,63.59,7.72
bredasdorp,0,AR,1567633146,56,-54.81,-68.31,42.8,17.22
adrar,75,CA,1567632985,68,43.26,-79.87,70.0,11.41
comodoro rivadavia,57,RU,1567633147,78,63.92,127.47,36.95,3.53
parrita,75,MU,1567633147,88,-20.21,57.76,72.0,5.82
puerto ayora,1,US,1567633147,68,34.64,-120.46,98.01,14.99
namikupa,20,PF,1567633147,62,-17.73,-149.15,84.2,6.93
catuday,52,PF,1567633148,75,-9.8,-139.03,78.89,11.63
jucuaran,0,AR,1567633148,38,-46.43,-67.52,38.93,6.26
riyadh,1,US,1567632893,59,60.55,-151.26,63.0,10.29
scottsbluff,100,SD,1567633148,98,11.01,29.72,71.87,10.89
nara,1,US,1567633148,47,39.95,-94.76,80.01,5.82
arman,75,NO,1567633149,87,67.67,12.69,50.0,5.82
darhan,90,CA,1567633149,93,47.66,-52.73,66.0,11.41
horodyshche,0,RS,1567633149,93,45.13,20.07,66.99,4.7
port blair,0,PE,1567633045,30,-13.71,-76.2,71.6,9.17
college,65,GB,1567633149,76,54.08,-0.19,55.4,12.75
mayor pablo lagerenza,45,TZ,1567633150,66,-7.6,37.0,62.87,2.59
tongchuan,27,EE,1567633150,93,57.91,26.05,52.0,1.12
hithadhoo,1,US,1567633150,43,33.19,-82.53,91.99,9.17
seydi,20,RU,1567633022,100,53.05,158.65,51.8,5.19
hella,1,US,1567633150,16,39.15,-123.21,95.0,10.29
camopi,0,AU,1567633151,88,-15.77,128.74,64.4,0.92
rikitea,100,PH,1567633151,90,8.0,124.29,75.99,3.0
matay,0,CL,1567633151,32,-42.48,-73.76,51.8,8.05
avarua,55,CD,1567633151,84,-0.28,20.88,70.07,3.58
caravelas,0,SE,1567633151,87,65.83,21.69,48.2,4.7
sabinopolis,97,NZ,1567633152,87,-35.1,173.78,60.01,5.01
nador,0,IT,1567633152,77,45.18,8.4,73.99,4.7
payo,99,AR,1567633152,63,-38.31,-60.23,42.53,7.99
raudeberg,71,AO,1567633152,83,-15.19,12.15,64.31,5.55
nioro,90,FR,1567633152,72,45.6,-0.6,64.4,12.75
coquimbo,75,CO,1567633153,70,10.99,-74.96,87.8,11.41
atuona,20,PT,1567633153,73,37.72,-25.43,71.01,12.75
sidhi,100,RU,1567633153,98,73.51,80.55,43.43,16.69
bathsheba,32,UY,1567633153,67,-33.69,-53.46,45.77,14.97
sungairaya,33,RU,1567633153,88,67.55,63.78,47.21,7.43
kaeo,0,TD,1567633153,58,14.53,20.93,86.45,15.68
lata,75,AU,1567633154,75,-42.78,147.06,44.01,8.05
iqaluit,100,RU,1567633154,98,57.35,36.05,51.89,5.01
mabaruma,0,AU,1567633154,70,-33.21,138.6,50.81,0.36
novopokrovka,0,MN,1567633154,88,49.49,105.92,52.61,0.83
isiro,0,ES,1567633155,73,38.18,-1.13,80.01,6.44
provideniya,65,ZA,1567633155,31,-30.97,22.13,54.95,15.99
ewa beach,98,RU,1567633155,85,71.97,114.09,31.37,11.45
jablah,2,PT,1567633155,42,41.42,-6.55,73.13,6.96
kamphaeng phet,100,IN,1567633155,91,26.8,91.5,66.65,2.68
bar harbor,1,NE,1567633156,41,16.97,7.99,91.4,9.19
mehran,79,GL,1567633156,90,72.79,-56.15,42.89,20.13
gimli,75,AU,1567633156,100,-33.86,121.89,42.8,10.29
soverato,100,PH,1567633156,82,11.0,122.67,72.95,2.89
los llanos de aridane,43,MG,1567633156,97,-17.82,48.43,53.15,2.04
samdrup jongkhar,1,US,1567633157,36,41.87,-103.67,93.2,14.99
esso,18,AU,1567633157,98,-36.71,142.2,44.15,7.07
alta floresta,100,IN,1567633157,75,24.7,78.12,79.97,2.93
celestun,1,US,1567632872,14,34.14,-116.05,114.01,5.82
reconquista,90,WS,1567633158,83,-13.87,-171.6,82.4,5.82
rosarito,18,ES,1567633158,60,28.66,-17.92,73.4,9.17
pallisa,100,NG,1567633158,94,5.43,7.07,75.11,5.44
klaksvik,0,KZ,1567633158,44,44.14,52.16,60.35,1.7
portobelo,10,MV,1567633158,80,-0.6,73.08,82.67,15.82
tuktoyaktuk,0,BR,1567633159,54,-30.17,-50.22,52.07,8.86
bakchar,0,AU,1567633159,87,-34.85,139.16,57.99,6.93
viransehir,40,BZ,1567633159,63,16.17,-88.94,91.4,6.93
paamiut,40,CA,1567633159,49,53.65,-115.58,71.6,8.05
volksrust,0,PT,1567633159,72,38.8,-9.45,73.99,10.29
chuy,0,CL,1567633160,58,-36.72,-73.12,55.4,11.41
abu kamal,75,SN,1567633160,88,14.69,-16.54,77.0,6.93
ramet,90,PW,1567633160,88,7.04,134.26,78.8,10.29
port elizabeth,0,SO,1567633160,76,9.49,50.81,76.19,27.56
ust-kuyga,15,CA,1567633160,68,43.74,-81.71,66.99,1.99
voh,30,BR,1567633161,23,-15.23,-59.33,97.43,3.6
saint-philippe,0,CA,1567633161,38,49.69,-83.67,65.39,10.6
casablanca,100,RU,1567633161,89,56.69,54.35,47.57,2.93
bronnoysund,100,TH,1567633161,87,16.47,99.53,75.47,2.13
saint-pierre,62,OM,1567633161,58,22.57,59.53,83.03,11.16
maniitsoq,20,EC,1567633162,65,-0.74,-90.35,78.8,20.8
carnarvon,93,GL,1567633162,83,65.42,-52.9,41.27,23.4
hamilton,0,IT,1567633162,77,45.16,10.79,69.8,4.7
razole,0,MR,1567633162,65,20.93,-17.03,77.0,14.99
codrington,95,ID,1567633163,92,-0.9,119.87,72.05,3.33
sangar,0,CL,1567632885,33,-45.58,-72.07,50.0,12.75
kahului,0,AR,1567632933,25,-31.54,-68.53,42.53,6.62
soe,34,TL,1567633163,81,-8.93,125.41,65.93,4.25
gornopravdinsk,20,BB,1567633163,66,13.22,-59.52,86.0,12.75
mahebourg,0,TZ,1567633163,53,-5.96,34.11,62.87,10.42
amazar,75,CA,1567633164,60,45.36,-73.48,71.6,26.4
nome,90,JP,1567633164,88,35.74,139.53,78.01,3.36
severomuysk,100,BR,1567633164,38,-2.63,-56.73,95.99,2.19
monrovia,54,AR,1567633164,65,-38.55,-58.74,44.01,8.01
lazaro cardenas,5,LY,1567633164,77,31.95,12.03,70.79,7.34
nanortalik,75,CA,1567633165,67,44.3,-81.27,66.0,11.41
palmer,40,GA,1567633165,88,-0.72,8.78,77.0,12.75
bonthe,1,CA,1567633165,39,46.19,-82.96,66.2,8.05
port-gentil,30,GL,1567633165,49,77.48,-69.36,33.71,4.52
kindu,0,NO,1567633166,80,78.22,15.63,30.2,6.93
haines junction,100,BF,1567633166,91,10.47,-3.27,75.83,3.56
amuntai,90,CA,1567633129,93,47.73,-53.24,66.0,11.41
bloomsburg,95,CN,1567633166,96,49.2,119.7,58.73,7.92
fujin,0,BR,1567633166,82,-17.73,-39.27,73.85,11.3
gat,75,GL,1567633167,59,65.61,-37.64,44.6,20.8
villa canales,100,CD,1567633167,98,2.77,27.62,66.83,0.89
oulainen,49,SB,1567633167,84,-8.15,159.59,79.25,11.36
daru,75,CA,1567633167,87,68.36,-133.71,53.6,6.93
pedra branca,67,JP,1567633168,79,43.32,145.57,61.97,12.77
alice springs,100,PH,1567633168,81,13.8,121.11,77.0,3.24
hidalgotitlan,0,AO,1567633168,88,-8.83,13.24,71.6,6.93
ponta delgada,74,GA,1567633168,88,-1.57,9.26,75.11,15.93
itarema,100,PG,1567633169,76,-2.57,150.8,81.95,8.59
avera,40,US,1567633169,30,30.3,-99.24,96.01,11.41
jiexiu,0,RU,1567633169,87,62.65,135.58,37.85,0.92
palana,0,SA,1567633169,24,24.63,46.72,91.4,3.36
shirokiy,0,IR,1567633169,19,30.12,55.12,70.07,6.13
clarence town,0,UA,1567633170,82,49.84,36.56,62.6,8.95
kenai,90,CL,1567633170,81,-29.95,-71.34,53.6,10.29
batagay,90,NU,1567633170,100,-19.06,-169.92,69.8,13.87
kalmunai,75,HT,1567633170,55,18.24,-72.54,91.4,11.41
santa maria,46,RU,1567633171,94,66.83,70.83,46.67,6.73
tura,6,GB,1567633171,76,51.33,-0.78,60.01,10.29
frolovo,40,CL,1567633171,72,-23.65,-70.4,59.0,12.75
puerto colombia,0,AU,1567633171,87,-35.55,138.62,55.99,6.93
pareora,75,MU,1567633172,88,-20.34,57.76,72.0,5.82
uyuni,40,US,1567633172,47,35.03,-90.03,96.8,5.82
amapa,75,JP,1567633172,78,37.8,140.92,71.6,5.82
tuy hoa,39,MZ,1567633172,98,-10.84,39.63,65.93,2.55
namuac,40,US,1567633173,68,36.62,-121.92,93.99,11.41
lavumisa,100,ZA,1567633173,90,-34.0,24.73,54.05,3.33
jamestown,39,EC,1567633173,74,-3.4,-78.58,58.73,7.14
carbonear,75,MA,1567633173,94,33.6,-7.62,73.4,6.93
tateyama,37,RU,1567633173,91,66.56,67.8,47.75,5.53
shirhatti,0,SY,1567633174,24,34.45,40.92,78.89,4.81
bilibino,0,RU,1567633174,79,69.7,170.27,39.29,6.08
araci,100,RU,1567633174,91,69.38,178.42,37.85,11.18
la rioja,16,AR,1567633174,23,-34.61,-68.33,51.17,9.26
resita,75,RU,1567633175,93,69.49,88.39,46.4,8.95
taoudenni,0,UA,1567633175,76,49.34,28.73,55.4,6.71
geraldton,40,IT,1567633175,88,41.3,13.03,73.99,2.24
khatanga,92,ID,1567633175,89,-2.54,115.51,69.89,1.28
yar-sale,90,CA,1567633175,70,63.75,-68.52,46.4,4.7
bolotesti,100,NZ,1567633175,97,-46.13,167.69,48.0,7.31
nienburg,1,US,1567633176,21,42.62,-113.68,91.99,5.77
lavrentiya,10,RU,1567633176,63,70.62,147.9,41.99,8.25
kathmandu,20,MX,1567633176,62,15.86,-97.07,89.6,10.29
pontes e lacerda,20,CA,1567632928,34,55.74,-97.86,55.4,3.36
pringsewu,0,NA,1567633176,88,-22.12,14.28,55.99,3.0
conde,0,AU,1567633177,87,-32.49,137.76,52.0,5.82
northam,1,PK,1567633177,46,28.69,69.95,91.67,8.7
yarada,0,AU,1567633177,13,-23.7,133.88,55.4,3.36
fort-shevchenko,40,US,1567633177,55,20.89,-156.47,87.8,19.46
kysyl-syr,43,RU,1567633177,96,53.86,120.88,47.57,3.22
edd,40,BE,1567633178,87,50.58,5.44,60.8,11.41
severo-kurilsk,100,IN,1567633178,96,20.07,79.68,74.39,8.1
matata,75,JP,1567633178,94,33.32,129.49,75.2,4.7
ilhabela,90,ES,1567633178,88,43.27,-7.54,64.0,11.41
east london,90,US,1567633178,100,44.39,-68.2,64.99,8.05
san marcos,92,ID,1567633179,82,4.14,96.13,81.59,7.29
lufilufi,100,NZ,1567633179,78,-45.87,170.5,50.0,14.0
torbay,36,BR,1567632907,61,-11.34,-38.96,74.75,10.09
clyde river,0,CL,1567633179,32,-41.87,-73.83,51.8,8.05
batie,0,CN,1567633180,30,39.77,98.29,68.09,4.88
sur,20,CA,1567633019,77,50.7,-127.42,60.8,5.82
victor harbor,17,ID,1567633180,91,-7.38,108.21,61.61,4.56
garden city,100,JP,1567632994,89,34.7,138.93,68.0,1.01
tongliao,75,NO,1567633180,81,62.58,6.12,51.8,16.11
norman wells,5,MX,1567633180,66,16.99,-99.26,89.6,3.36
quatre cocos,90,RU,1567633180,93,64.73,177.51,44.6,4.47
najran,75,BN,1567633181,88,5.28,115.24,78.8,3.87
salalah,47,RU,1567633181,83,55.93,158.7,40.91,4.29
rawson,75,MX,1567632970,23,28.39,-105.62,87.01,5.82
zhigansk,8,RU,1567633181,82,56.17,113.57,41.45,4.14
harper,33,MD,1567633181,89,48.03,28.7,50.0,3.02
dubovskoye,0,GR,1567633182,46,39.45,22.34,73.4,1.5
hermanus,94,RU,1567633182,59,53.87,39.17,59.63,8.55
meridian,33,CN,1567633182,98,25.94,116.13,70.79,2.24
pangnirtung,63,ID,1567633182,97,-0.91,122.88,58.37,3.58
bridlington,40,RU,1567633183,77,59.7,30.79,60.01,11.18
guiren,75,CA,1567633183,93,66.15,-65.72,44.6,6.93
gorom-gorom,40,US,1567633183,18,43.49,-112.04,90.0,9.17
porto novo,94,UA,1567633183,83,46.97,35.42,64.85,7.49
kaduqli,0,BR,1567633183,18,-16.02,-48.01,87.8,8.05
sinnamary,0,BR,1567633184,53,-18.67,-43.08,68.45,4.7
sibu,70,MR,1567633184,20,20.52,-13.05,101.03,8.05
timra,51,CV,1567633184,85,14.9,-24.5,80.87,13.76
puerto escondido,100,RU,1567633184,98,51.48,140.77,58.91,3.87
colares,100,HN,1567633185,30,14.68,-86.92,87.17,11.39
henties bay,75,RU,1567633185,100,64.44,40.96,51.8,2.04
cidreira,100,NO,1567633185,81,65.46,12.2,50.0,5.82
paisley,90,RU,1567633185,87,64.42,-173.23,48.2,8.95
sabang,0,AR,1567633069,49,-51.62,-69.22,46.4,8.05
gandhidham,1,US,1567633186,35,30.37,-88.56,98.6,6.93
boden,90,VN,1567633186,94,21.32,103.9,64.85,0.6
concordia,73,FI,1567633186,92,64.27,24.8,52.0,1.99
kawalu,97,RU,1567633186,92,71.64,128.87,41.81,10.4
loandjili,75,CA,1567633186,100,60.82,-115.79,55.4,4.7
necochea,0,UA,1567633187,74,49.87,26.08,54.77,1.99
punta arenas,100,IN,1567633187,94,23.07,70.13,79.25,3.09
banjar,100,ID,1567633187,98,-2.54,112.95,68.99,1.45
port macquarie,100,KZ,1567633187,68,51.1,66.31,52.79,13.13
aklavik,40,GB,1567633188,76,50.26,-5.05,57.2,25.28
pacific grove,38,AU,1567633188,100,-37.84,145.39,51.01,5.82
laguna,20,BR,1567633188,69,-3.71,-38.6,80.6,10.29
vanimo,75,CR,1567633188,83,9.52,-84.33,73.99,2.24
anadyr,58,EE,1567633188,96,59.1,26.19,51.89,6.8
abancay,75,JP,1567633189,83,34.68,135.8,78.8,3.36
outjo,75,PA,1567633189,94,9.55,-79.65,78.8,5.82
kavaratti,0,NC,1567633189,70,-21.55,167.88,68.63,22.66
fort nelson,100,RU,1567633189,96,65.58,-170.99,45.41,8.77
arraial do cabo,0,GF,1567633189,74,4.94,-52.33,84.2,9.17
scarborough,20,BR,1567633190,69,-16.44,-39.06,77.0,9.17
saint george,75,CA,1567633190,87,68.22,-135.01,53.6,5.82
hofn,20,US,1567632907,66,27.1,-82.45,90.0,17.22
nanma,51,NZ,1567633190,100,-35.17,173.16,59.0,21.34
ukiah,1,US,1567632919,64,46.28,-96.08,70.0,5.82
fairbanks,0,MX,1567633191,82,27.97,-114.04,73.31,9.84
srednekolymsk,0,CN,1567633191,32,40.29,97.04,70.43,9.84
baglung,40,CO,1567633191,36,1.24,-77.6,77.0,14.99
fortuna,98,IN,1567633191,86,24.41,81.88,79.79,5.08
hailar,100,RU,1567633191,70,62.53,155.8,41.45,6.78
ahipara,40,GY,1567633052,70,6.8,-58.16,86.0,13.87
panzhihua,48,MX,1567633192,76,20.87,-90.4,84.11,10.31
namatanai,90,US,1567633192,93,37.46,-122.43,88.0,9.17
teahupoo,0,TR,1567633192,15,37.24,39.76,71.15,1.23
jiayuguan,100,PG,1567633192,77,-2.67,141.3,80.33,11.27
kamenka,100,CA,1567633193,35,50.63,-96.99,77.0,5.01
beska,75,MX,1567633193,42,21.16,-100.93,80.6,9.17
camalu,0,CL,1567633193,61,-25.41,-70.49,58.73,5.86
tel aviv-yafo,46,ZA,1567633193,76,-28.77,32.06,69.71,14.9
grand gaube,100,BR,1567633066,63,-25.98,-52.57,60.71,7.34
lorengau,100,GF,1567633193,79,5.38,-52.96,82.13,20.67
hearst,0,CA,1567633194,34,51.64,-111.93,82.99,8.99
son la,9,AU,1567633194,90,-33.96,116.14,33.01,0.63
nemuro,75,JP,1567633194,94,33.93,134.5,77.0,11.41
cape town,2,RU,1567633194,91,66.69,34.34,49.37,5.26
talnakh,40,BR,1567633195,49,2.82,-60.67,91.4,8.05
mehamn,75,IT,1567633195,88,38.69,16.55,69.8,8.05
alofi,68,GF,1567633195,55,3.17,-52.33,86.99,3.2
thompson,66,CN,1567633195,92,43.61,122.27,63.95,8.05
kieta,100,SD,1567633195,32,14.2,24.66,84.65,2.37
la ronge,99,VN,1567633196,76,13.08,109.3,77.09,9.48
atar,75,VN,1567633196,88,15.88,108.33,78.8,1.12
constitucion,40,US,1567633142,22,36.83,-119.7,102.0,4.7
cayenne,0,EG,1567633196,36,28.42,30.79,80.15,11.86
souillac,1,US,1567633196,17,43.97,-111.68,90.0,9.17
ozinki,100,IN,1567633197,95,16.48,81.84,75.11,14.14
olinda,1,US,1567632976,24,43.61,-116.39,93.2,6.06
yumen,75,CA,1567633197,59,45.63,-73.98,69.8,13.87
cangzhou,7,AO,1567633197,89,-11.2,13.84,70.79,10.51
balabac,85,BR,1567633099,92,-9.01,-35.22,71.69,4.94
apricena,27,PF,1567633198,81,-16.48,-151.75,77.99,21.32
kloulklubed,66,BR,1567633198,88,-23.78,-45.36,68.63,15.61
roald,22,BR,1567633198,40,-5.46,-39.72,82.13,3.6
chanderi,7,RU,1567633198,55,67.46,153.71,47.75,9.69
blackwater,0,MZ,1567633199,81,-12.97,40.52,75.83,14.23
rojhan,40,US,1567633199,37,30.04,-94.42,97.0,6.93
chokurdakh,65,GB,1567633082,76,54.28,-0.41,55.4,12.75
buala,87,NC,1567632903,63,-20.95,164.69,69.35,13.8
porto seguro,9,AU,1567633199,56,-20.73,139.49,53.6,4.7
drayton valley,20,PK,1567633200,62,35.92,74.31,49.91,9.08
marsh harbour,99,BR,1567633200,23,-8.26,-49.26,94.73,1.77
glendive,53,PH,1567633200,72,7.99,117.06,80.15,2.8
hobart,73,ID,1567633200,81,-8.49,140.4,74.75,20.09
deputatskiy,100,PH,1567633200,91,17.54,120.52,75.29,6.55
lebu,20,MX,1567633013,43,22.89,-109.91,95.0,17.22
norrtalje,0,AU,1567633201,93,-28.95,153.24,64.0,5.82
merauke,64,MV,1567633201,78,0.53,72.93,82.85,13.15
whitehaven,0,RU,1567633201,44,68.06,166.44,42.35,2.33
kapaa,100,NZ,1567633201,97,-37.89,176.76,63.0,1.01
jega,83,ID,1567633202,81,1.74,98.78,80.69,6.4
katsuura,75,RU,1567633202,87,53.14,59.15,46.4,8.95
mataura,0,KZ,1567633202,49,44.51,50.26,69.89,7.74
bilma,99,RU,1567633202,90,67.65,134.64,36.23,1.52
mount isa,40,CA,1567633203,32,58.81,-122.69,69.8,11.41
tumpat,34,BR,1567633203,73,-2.92,-39.92,77.45,12.53
billings,0,CL,1567633203,49,-28.58,-70.76,63.05,12.37
blind river,0,BR,1567633044,50,-32.03,-52.1,51.8,9.17
broome,0,MZ,1567633203,78,-23.87,35.38,63.05,6.4
cherskiy,38,ID,1567633204,80,-3.75,103.64,66.11,3.2
namibe,2,IR,1567633204,18,28.22,61.21,67.73,7.18
svetlogorsk,66,RU,1567633204,97,57.69,93.28,41.81,3.29
ushuaia,75,CA,1567633204,75,70.47,-68.59,42.8,11.41
naze,75,GL,1567633205,75,69.22,-51.1,42.8,4.7
pemba,100,LK,1567633205,74,7.42,81.82,76.91,2.55
hasaki,20,CY,1567633205,78,34.81,32.42,78.8,5.82
umba,0,RU,1567633206,59,50.24,43.59,55.13,7.58
de-kastri,90,IN,1567633206,94,17.65,83.27,78.8,11.41
tuatapere,75,LR,1567633206,94,5.88,-10.05,77.0,9.93
derzhavinsk,56,CN,1567633207,95,42.18,127.48,57.11,1.95
bereda,36,UG,1567633207,88,1.17,33.71,66.65,2.06
boa vista,27,PF,1567633207,81,-16.52,-151.75,77.99,21.32
kamaishi,0,AU,1567633091,57,-32.25,148.6,48.2,6.93
rupert,75,AU,1567633208,75,-43.03,147.26,44.01,8.05
kavieng,100,RU,1567633208,83,68.05,39.51,51.17,13.29
goundam,0,FR,1567633208,26,43.97,3.47,80.6,11.41
upata,40,PT,1567633208,78,33.08,-16.33,73.4,10.29
estelle,2,UA,1567633208,66,50.76,29.29,53.6,4.47
jiuquan,0,CN,1567633209,45,37.02,111.92,59.63,1.1
bethel,44,SD,1567633209,50,13.6,26.69,86.99,21.74
bambous virieux,16,ID,1567633209,60,-0.87,134.08,73.67,4.5
pisco,53,UY,1567633209,75,-34.48,-54.34,41.63,8.32
petropavlovsk-kamchatskiy,99,NP,1567633210,89,28.27,83.59,56.21,4.74
parintins,75,BR,1567633210,77,-23.68,-45.44,64.4,10.29
gilgit,90,CA,1567633210,93,50.23,-63.6,53.6,13.87
omsukchan,0,DZ,1567633050,19,27.87,-0.29,91.4,8.05
bangui,0,NA,1567633211,19,-20.11,16.16,69.8,3.36
ponta do sol,20,ZA,1567633211,21,-27.36,29.88,47.03,0.94
palu,0,AU,1567633211,100,-20.31,118.58,62.6,4.7
khash,100,SL,1567633211,92,7.53,-12.5,76.73,8.34
hoi an,21,ID,1567633211,77,0.7,108.9,81.95,16.8
talcahuano,100,VE,1567633150,73,8.02,-62.41,86.0,1.99
terpinnya,0,PL,1567633212,52,52.71,16.37,66.2,10.29
dikson,4,PL,1567633212,76,51.23,20.86,59.0,7.11
anchorage,75,IN,1567633212,100,13.39,77.7,69.8,11.41
mecca,1,US,1567633212,24,43.62,-116.24,93.0,6.06
atbasar,16,ZA,1567633213,85,-27.31,31.88,58.37,4.18
castro,0,AR,1567633213,46,-29.14,-59.64,58.91,9.98
bolshaya glushitsa,0,CN,1567633213,87,35.7,113.14,55.67,1.66
wronki,75,JP,1567633213,93,43.18,140.99,64.99,9.17
faanui,75,GT,1567633213,62,14.97,-91.79,91.4,11.41
arroyo,20,IL,1567633214,69,32.08,34.78,78.8,8.05
idaho falls,75,RO,1567633214,93,45.83,27.07,59.0,13.87
nishihara,100,IN,1567633214,81,11.67,92.75,82.13,24.4
saint anthony,60,BS,1567633214,81,26.54,-77.06,83.93,24.9
dolores hidalgo,1,US,1567633214,28,47.11,-104.71,95.0,11.41
ribeira grande,16,PF,1567633215,81,-16.7,-151.02,77.81,22.48
hanna,75,RU,1567633215,45,43.63,44.06,68.0,6.71
tiksi,75,US,1567633215,62,64.86,-147.8,60.8,5.82
sibolga,83,BR,1567633215,21,-9.87,-56.08,98.51,2.35
khandyga,90,BR,1567633215,88,-22.93,-42.51,71.6,9.17
